resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,inf,inf,inf,inf,inf,inf,inf
6,1.63251,1.62899,0.763297,0.749865,0.740848,0.734853,inf
7,1.15995,1.17872,1.19035,1.20651,1.94372,1.24124,1.26399
8,1.54245,1.54211,1.54436,0.860887,0.842283,0.826032,0.805204
9,1.13059,1.1373,1.13903,1.14951,1.15096,1.17229,1.18995
10,inf,inf,inf,1.47849,0.913448,0.754976,0.880487
11,inf,inf,inf,1.12842,1.1339,1.13607,1.14807
12,1.39071,1.39643,3.99075,inf,1.46233,inf,inf
13,inf,1.10126,1.10111,1.10895,1.11719,1.12434,1.1287
14,1.33955,inf,inf,inf,inf,inf,inf
